eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
whoever told you that is a liar.,"wer immer dir das sagte, ist ein lügner.",whoever told you that is a liar .,"<sos> wer immer dir das sagte , ist ein lugner .","wer immer dir das sagte , ist ein lugner . <eos>",8,11
i know you hate school.,"ich weiß, dass du die schule hasst.",i know you hate school .,"<sos> ich wei , dass du die schule hasst .","ich wei , dass du die schule hasst . <eos>",6,10
please call me back.,ruf mich bitte zurück!,please call me back .,<sos> ruf mich bitte zuruck !,ruf mich bitte zuruck ! <eos>,5,6
what did they want?,was wollten sie?,what did they want ?,<sos> was wollten sie ?,was wollten sie ? <eos>,5,5
tom seemed to be pretty excited.,tom schien ziemlich aufgeregt zu sein.,tom seemed to be pretty excited .,<sos> tom schien ziemlich aufgeregt zu sein .,tom schien ziemlich aufgeregt zu sein . <eos>,7,8
i just want to know what i'm getting into.,"ich möchte nur wissen, auf was ich mich da einlasse.",i just want to know what i am getting into .,"<sos> ich mochte nur wissen , auf was ich mich da einlasse .","ich mochte nur wissen , auf was ich mich da einlasse . <eos>",11,13
aren't you happy to see me?,"freust du dich nicht, mich zu sehen?",are not you happy to see me ?,"<sos> freust du dich nicht , mich zu sehen ?","freust du dich nicht , mich zu sehen ? <eos>",8,10
these are tom's gloves.,das sind toms handschuhe.,these are tom 's gloves .,<sos> das sind toms handschuhe .,das sind toms handschuhe . <eos>,6,6
tom can't even sharpen a pencil.,tom kann nicht einmal einen bleistift anspitzen.,tom can not even sharpen a pencil .,<sos> tom kann nicht einmal einen bleistift anspitzen .,tom kann nicht einmal einen bleistift anspitzen . <eos>,8,9
please come inside.,bitte komm herein!,please come inside .,<sos> bitte komm herein !,bitte komm herein ! <eos>,4,5
tom said he was in no hurry to go home.,"tom sagte, er habe keine eile, nach hause zu gehen.",tom said he was in no hurry to go home .,"<sos> tom sagte , er habe keine eile , nach hause zu gehen .","tom sagte , er habe keine eile , nach hause zu gehen . <eos>",11,14
i don't have much money now.,ich habe im moment nicht viel geld.,i do not have much money now .,<sos> ich habe im moment nicht viel geld .,ich habe im moment nicht viel geld . <eos>,8,9
the place is not accessible by land.,der ort ist auf dem landweg nicht zu erreichen.,the place is not accessible by land .,<sos> der ort ist auf dem landweg nicht zu erreichen .,der ort ist auf dem landweg nicht zu erreichen . <eos>,8,11
i have to stay at a hotel near the airport tonight.,ich muss heute in einem hotel in der nähe des flughafens übernachten.,i have to stay at a hotel near the airport tonight .,<sos> ich muss heute in einem hotel in der nahe des flughafens ubernachten .,ich muss heute in einem hotel in der nahe des flughafens ubernachten . <eos>,12,14
her story can't be true.,ihre geschichte kann nicht wahr sein.,her story can not be true .,<sos> ihre geschichte kann nicht wahr sein .,ihre geschichte kann nicht wahr sein . <eos>,7,8
in esperanto there are only 16 grammar rules.,in esperanto gibt es nur 16 grammatikalische regeln.,in esperanto there are only 16 grammar rules .,<sos> in esperanto gibt es nur 16 grammatikalische regeln .,in esperanto gibt es nur 16 grammatikalische regeln . <eos>,9,10
reindeer can be trained to pull sleds.,"man kann rentiere abrichten, dass sie schlitten ziehen.",reindeer can be trained to pull sleds .,"<sos> man kann rentiere abrichten , dass sie schlitten ziehen .","man kann rentiere abrichten , dass sie schlitten ziehen . <eos>",8,11
you sound disappointed.,du klingst enttäuscht.,you sound disappointed .,<sos> du klingst enttauscht .,du klingst enttauscht . <eos>,4,5
she wants him to be just a friend.,sie will nur mit ihm befreundet sein.,she wants him to be just a friend .,<sos> sie will nur mit ihm befreundet sein .,sie will nur mit ihm befreundet sein . <eos>,9,9
what have i missed?,was habe ich verpasst?,what have i missed ?,<sos> was habe ich verpasst ?,was habe ich verpasst ? <eos>,5,6
tom is somewhere in this building.,tom befindet sich irgendwo in diesem gebäude.,tom is somewhere in this building .,<sos> tom befindet sich irgendwo in diesem gebaude .,tom befindet sich irgendwo in diesem gebaude . <eos>,7,9
tom has changed.,tom hat sich verändert.,tom has changed .,<sos> tom hat sich verandert .,tom hat sich verandert . <eos>,4,6
how many languages do you speak?,wie viele sprachen sprichst du?,how many languages do you speak ?,<sos> wie viele sprachen sprichst du ?,wie viele sprachen sprichst du ? <eos>,7,7
it wasn't until i heard him speak that i recognized him.,"ich erkannte ihn erst wieder, als ich ihn sprechen hörte.",it was not until i heard him speak that i recognized him .,"<sos> ich erkannte ihn erst wieder , als ich ihn sprechen horte .","ich erkannte ihn erst wieder , als ich ihn sprechen horte . <eos>",13,13
this story is by far the most interesting of all.,diese geschichte ist bei weitem die interessanteste von allen.,this story is by far the most interesting of all .,<sos> diese geschichte ist bei weitem die interessanteste von allen .,diese geschichte ist bei weitem die interessanteste von allen . <eos>,11,11
i don't want to lie to you.,ich will sie nicht belügen.,i do not want to lie to you .,<sos> ich will sie nicht belugen .,ich will sie nicht belugen . <eos>,9,7
can we fish there?,können wir hier angeln?,can we fish there ?,<sos> konnen wir hier angeln ?,konnen wir hier angeln ? <eos>,5,6
why do you think that i'm thinking about you?,"warum glaubst du, dass ich an dich denke?",why do you think that i am thinking about you ?,"<sos> warum glaubst du , dass ich an dich denke ?","warum glaubst du , dass ich an dich denke ? <eos>",11,11
we follow the law.,wir halten uns an das gesetz.,we follow the law .,<sos> wir halten uns an das gesetz .,wir halten uns an das gesetz . <eos>,5,8
tom said that mary doesn't have to do that this week.,"tom sagte, maria müsse das diese woche nicht machen.",tom said that mary does not have to do that this week .,"<sos> tom sagte , maria musse das diese woche nicht machen .","tom sagte , maria musse das diese woche nicht machen . <eos>",13,12
"if you run fast, you can catch the train.","wenn sie schnell laufen, können sie den zug noch erwischen.","if you run fast , you can catch the train .","<sos> wenn sie schnell laufen , konnen sie den zug noch erwischen .","wenn sie schnell laufen , konnen sie den zug noch erwischen . <eos>",11,13
do you like apples?,magst du äpfel?,do you like apples ?,<sos> magst du apfel ?,magst du apfel ? <eos>,5,5
"she looked in her bag for the key of the house, but could not find it.","sie suchte in ihrer tasche nach dem hausschlüssel, konnte ihn aber nicht finden.","she looked in her bag for the key of the house , but could not find it .","<sos> sie suchte in ihrer tasche nach dem hausschlussel , konnte ihn aber nicht finden .","sie suchte in ihrer tasche nach dem hausschlussel , konnte ihn aber nicht finden . <eos>",18,16
i live in boston with my family.,ich lebe mit meiner familie in boston.,i live in boston with my family .,<sos> ich lebe mit meiner familie in boston .,ich lebe mit meiner familie in boston . <eos>,8,9
these are simple sentences.,dies sind einfache sätze.,these are simple sentences .,<sos> dies sind einfache satze .,dies sind einfache satze . <eos>,5,6
i'm old enough to live by myself.,"ich bin alt genug, um mein eigenes leben zu leben.",i am old enough to live by myself .,"<sos> ich bin alt genug , um mein eigenes leben zu leben .","ich bin alt genug , um mein eigenes leben zu leben . <eos>",9,13
that was pretty intense.,das war ziemlich heftig.,that was pretty intense .,<sos> das war ziemlich heftig .,das war ziemlich heftig . <eos>,5,6
is your hair naturally curly?,haben sie naturlocken?,is your hair naturally curly ?,<sos> haben sie naturlocken ?,haben sie naturlocken ? <eos>,6,5
he has a new car and an old car.,er hat ein neues und ein altes auto.,he has a new car and an old car .,<sos> er hat ein neues und ein altes auto .,er hat ein neues und ein altes auto . <eos>,10,10
don't be late for school tomorrow.,kommen sie morgen nicht zu spät zur schule.,do not be late for school tomorrow .,<sos> kommen sie morgen nicht zu spat zur schule .,kommen sie morgen nicht zu spat zur schule . <eos>,8,10
my name isn't tom anymore.,ich heiße nicht mehr tom.,my name is not tom anymore .,<sos> ich heie nicht mehr tom .,ich heie nicht mehr tom . <eos>,7,7
tom got caught up in the heat of the moment and made a rash decision.,im eifer des gefechts traf tom einen übereilten entschluss.,tom got caught up in the heat of the moment and made a rash decision .,<sos> im eifer des gefechts traf tom einen ubereilten entschluss .,im eifer des gefechts traf tom einen ubereilten entschluss . <eos>,16,11
i'm at home almost every night.,ich bin fast jede nacht zu hause.,i am at home almost every night .,<sos> ich bin fast jede nacht zu hause .,ich bin fast jede nacht zu hause . <eos>,8,9
are you sure tom can do it by himself?,"bist du sicher, dass tom das alleine kann?",are you sure tom can do it by himself ?,"<sos> bist du sicher , dass tom das alleine kann ?","bist du sicher , dass tom das alleine kann ? <eos>",10,11
she hardly ever works.,sie arbeitet fast nie.,she hardly ever works .,<sos> sie arbeitet fast nie .,sie arbeitet fast nie . <eos>,5,6
she's in danger.,sie ist in gefahr.,she is in danger .,<sos> sie ist in gefahr .,sie ist in gefahr . <eos>,5,6
you know too much.,sie wissen zu viel.,you know too much .,<sos> sie wissen zu viel .,sie wissen zu viel . <eos>,5,6
tom offered me a cup of coffee.,tom bot mir eine tasse kaffee an.,tom offered me a cup of coffee .,<sos> tom bot mir eine tasse kaffee an .,tom bot mir eine tasse kaffee an . <eos>,8,9
police brutality has been a problem for a long time.,polizeibrutalität ist schon seit langem ein problem.,police brutality has been a problem for a long time .,<sos> polizeibrutalitat ist schon seit langem ein problem .,polizeibrutalitat ist schon seit langem ein problem . <eos>,11,9
these aren't for you.,diese sind nicht für dich.,these are not for you .,<sos> diese sind nicht fur dich .,diese sind nicht fur dich . <eos>,6,7
that's a splendid idea.,das ist eine ausgezeichnete idee.,that is a splendid idea .,<sos> das ist eine ausgezeichnete idee .,das ist eine ausgezeichnete idee . <eos>,6,7
let us out.,lass uns heraus!,let us out .,<sos> lass uns heraus !,lass uns heraus ! <eos>,4,5
tom is stuck in traffic.,tom steckt im verkehr fest.,tom is stuck in traffic .,<sos> tom steckt im verkehr fest .,tom steckt im verkehr fest . <eos>,6,7
tom should have discussed it with his parents.,tom hätte das mit seinen eltern besprechen sollen.,tom should have discussed it with his parents .,<sos> tom hatte das mit seinen eltern besprechen sollen .,tom hatte das mit seinen eltern besprechen sollen . <eos>,9,10
einstein enjoyed playing the violin.,einstein spielte gerne geige.,einstein enjoyed playing the violin .,<sos> einstein spielte gerne geige .,einstein spielte gerne geige . <eos>,6,6
i'm very pleased.,ich bin hochzufrieden.,i am very pleased .,<sos> ich bin hochzufrieden .,ich bin hochzufrieden . <eos>,5,5
he called us at the top of his lungs.,"er rief nach uns, so laut er nur konnte.",he called us at the top of his lungs .,"<sos> er rief nach uns , so laut er nur konnte .","er rief nach uns , so laut er nur konnte . <eos>",10,12
did mary knit gloves for you both?,hat maria euch allen beiden handschuhe gestrickt?,did mary knit gloves for you both ?,<sos> hat maria euch allen beiden handschuhe gestrickt ?,hat maria euch allen beiden handschuhe gestrickt ? <eos>,8,9
she hardly ate anything.,sie hat kaum etwas gegessen.,she hardly ate anything .,<sos> sie hat kaum etwas gegessen .,sie hat kaum etwas gegessen . <eos>,5,7
i am talking to my sister.,ich spreche mit meiner schwester.,i am talking to my sister .,<sos> ich spreche mit meiner schwester .,ich spreche mit meiner schwester . <eos>,7,7
tom had nothing to do with what happened here.,"tom hatte nichts mit dem, was hier geschehen ist, zu tun.",tom had nothing to do with what happened here .,"<sos> tom hatte nichts mit dem , was hier geschehen ist , zu tun .","tom hatte nichts mit dem , was hier geschehen ist , zu tun . <eos>",10,15
i'd like to watch tv.,ich würde gerne fernsehen.,i would like to watch tv .,<sos> ich wurde gerne fernsehen .,ich wurde gerne fernsehen . <eos>,7,6
"how nice to see you again, tom.","wie schön, dich wiederzusehen, tom!","how nice to see you again , tom .","<sos> wie schon , dich wiederzusehen , tom !","wie schon , dich wiederzusehen , tom ! <eos>",9,9
at least the work is done.,wenigstens ist die arbeit getan.,at least the work is done .,<sos> wenigstens ist die arbeit getan .,wenigstens ist die arbeit getan . <eos>,7,7
"give me five gallons of gas, please.",geben sie mir bitte neunzehn liter treibstoff.,"give me five gallons of gas , please .",<sos> geben sie mir bitte neunzehn liter treibstoff .,geben sie mir bitte neunzehn liter treibstoff . <eos>,9,9
she married a hotshot lawyer from new york.,sie hat einen spitzenanwalt aus new york geheiratet.,she married a hotshot lawyer from new york .,<sos> sie hat einen spitzenanwalt aus new york geheiratet .,sie hat einen spitzenanwalt aus new york geheiratet . <eos>,9,10
i'm feeling ok except for the earache.,abgesehen von den ohrenschmerzen geht es mir gut.,i am feeling ok except for the earache .,<sos> abgesehen von den ohrenschmerzen geht es mir gut .,abgesehen von den ohrenschmerzen geht es mir gut . <eos>,9,10
he is watching tv.,er schaut fern.,he is watching tv .,<sos> er schaut fern .,er schaut fern . <eos>,5,5
tom bought something for mary.,tom kaufte maria etwas.,tom bought something for mary .,<sos> tom kaufte maria etwas .,tom kaufte maria etwas . <eos>,6,6
